,State_FIPS_Code,County_FIPS_Code,Diabetes,CHSI_County_Name_x,CHSI_State_Name_x,CHSI_State_Abbr_x,Strata_ID_Number_x,Strata_Determining_Factors,Number_Counties,Population_Size,Min_Population_Size,Max_Population_Size,Population_Density,Min_Population_Density,Max_Population_Density,Poverty,Min_Poverty,Max_Poverty,Age_19_Under,Min_Age_19_Under,Max_Age_19_Under,Age_19_64,Min_Age_19_64,Max_Age_19_65,Age_65_84,Min_Age_65_84,Max_Age_65_85,Age_85_and_Over,Min_Age_85_and_Over,Max_Age_85_and_Over,White,Min_White,Max_White,Black,Min_Black,Max_Black,Native_American,Min_Native_American,Max_Native_American,Asian,Min_Asian,Max_Asian,Hispanic,Min_Hispanic,Max_Hispanic,No_HS_Diploma,Unemployed,Sev_Work_Disabled,Major_Depression,Recent_Drug_Use,Ecol_Rpt_Ind,Salm_Rpt,Salm_Rpt_Ind,Salm_Exp,Shig_Rpt_Ind,Shig_Exp,Carbon_Monoxide_Ind,Nitrogen_Dioxide_Ind,Sulfur_Dioxide_Ind,Ozone_Ind,Particulate_Matter_Ind,Lead_Ind,EH_Time_Span
10,1,23,13.5,Choctaw,Alabama,AL,66,"frontier status, population size, poverty, age, population density",37,14807,6709,17773,16,8,19,18.7,17.4,29.4,24.9,24.5,34.1,59.5,53.7,62.2,13.7,8.6,13.2,2.0,1.0,2.0,55.7,24.9,97.0,43.9,0.5,71.7,0.1,0.1,53.4,0.1,0.1,0.8,0.8,0.8,83.5,3499.0,325.0,589.0,837,701,0,21.0,0,29.0,0,24.0,0,0,0,0,0,0,1994-2003
11,1,25,15.8,Clarke,Alabama,AL,51,"frontier status, population size, poverty, age, population density",33,27269,27269,43226,22,14,41,19.2,18.0,24.6,27.3,23.5,32.2,58.5,54.9,62.5,12.4,9.6,12.6,1.8,1.2,1.8,55.8,48.6,97.0,43.7,0.7,50.7,0.2,0.2,7.1,0.2,0.2,2.3,0.7,1.0,67.7,5196.0,594.0,972.0,1494,1290,0,12.0,0,28.0,0,15.0,0,0,0,0,0,0,1999-2003
12,1,27,12.2,Clay,Alabama,AL,63,"frontier status, population size, poverty, age, population density",32,13964,9378,21479,23,24,32,14.0,12.1,16.5,22.4,21.1,24.8,60.3,56.7,62.7,14.9,11.8,17.2,2.5,1.6,3.3,84.2,68.0,98.5,15.0,0.3,31.6,0.3,0.1,0.7,0.1,0.1,0.6,2.1,0.8,2.8,3333.0,266.0,624.0,814,664,1,14.0,0,18.0,0,4.0,0,0,0,0,0,0,1994-2003
13,1,29,10.5,Cleburne,Alabama,AL,41,"frontier status, population size, poverty, age",47,14460,6602,24509,26,20,1362,14.0,12.5,17.5,23.3,21.8,25.9,62.6,56.1,64.1,12.8,10.0,16.0,1.4,1.2,3.3,95.3,59.0,98.4,3.8,0.6,40.2,0.3,0.1,0.5,0.2,0.1,1.8,1.8,0.7,6.5,3695.0,234.0,597.0,833,697,1,15.0,0,26.0,0,12.0,0,0,0,0,0,0,1994-2003
14,1,31,10.3,Coffee,Alabama,AL,32,"frontier status, population size, poverty, age",37,45567,29918,51327,67,25,310,13.7,12.7,17.8,24.5,20.8,25.4,61.1,60.9,67.2,12.9,8.1,13.9,1.5,1.2,2.0,77.9,71.9,98.0,18.5,0.9,24.1,0.9,0.1,5.4,1.2,0.3,2.1,3.2,0.6,6.7,8316.0,694.0,1940.0,2590,2179,0,85.0,1,31.0,1,9.0,0,0,0,0,0,0,1999-2003
15,1,33,13.6,Colbert,Alabama,AL,21,"frontier status, population size, poverty, age",44,54660,53309,92614,92,40,201,14.0,9.8,13.5,23.0,20.6,24.8,60.9,57.7,62.9,14.0,12.6,17.5,2.0,1.7,3.2,81.9,82.8,97.9,16.7,0.4,14.9,0.4,0.1,1.3,0.3,0.3,1.1,1.3,0.8,8.5,10160.0,1203.0,2463.0,3162,2606,0,28.0,0,36.0,0,8.0,0,0,0,0,0,0,1999-2003
16,1,35,8.2,Conecuh,Alabama,AL,75,"frontier status, population size, poverty, age, population density",37,13257,6228,19495,16,15,22,22.0,17.0,24.9,25.3,22.3,28.6,59.3,55.2,63.8,13.4,11.0,15.1,2.1,1.8,2.6,55.3,30.0,97.1,44.1,1.1,69.6,0.2,0.1,1.6,0.1,0.1,0.5,0.9,0.7,37.8,2872.0,296.0,576.0,746,635,0,19.0,0,24.0,0,8.0,0,0,0,0,0,0,1994-2003
17,1,37,15.0,Coosa,Alabama,AL,41,"frontier status, population size, poverty, age",47,11162,6602,24509,17,20,1362,13.4,12.5,17.5,23.2,21.8,25.9,61.2,56.1,64.1,13.8,10.0,16.0,1.8,1.2,3.3,67.6,59.0,98.4,31.6,0.6,40.2,0.3,0.1,0.5,0.1,0.1,1.8,1.5,0.7,6.5,2707.0,231.0,422.0,645,517,0,4.0,0,23.0,0,11.0,0,0,0,0,0,0,1994-2003
18,1,39,12.1,Covington,Alabama,AL,35,"frontier status, population size, poverty, age",27,37003,27228,49644,36,32,87,17.5,14.6,20.3,23.4,21.8,26.5,58.7,57.6,62.1,15.5,12.6,16.6,2.5,1.6,2.6,86.1,62.3,98.0,12.6,0.5,36.6,0.5,0.2,17.0,0.3,0.3,0.7,0.9,0.8,16.0,8116.0,686.0,1763.0,2131,1748,0,36.0,1,30.0,0,22.0,0,0,0,0,0,0,1999-2003
19,1,43,10.0,Cullman,Alabama,AL,21,"frontier status, population size, poverty, age",44,79886,53309,92614,108,40,201,13.3,9.8,13.5,23.9,20.6,24.8,61.3,57.7,62.9,13.3,12.6,17.5,1.5,1.7,3.2,97.3,82.8,97.9,1.2,0.4,14.9,0.4,0.1,1.3,0.3,0.3,1.1,3.1,0.8,8.5,16275.0,1367.0,3993.0,4572,3803,0,60.0,1,51.0,1,12.0,0,0,0,0,0,0,1999-2003
20,1,45,12.1,Dale,Alabama,AL,33,"frontier status, population size, poverty, age",41,48748,27640,49369,87,20,98,15.8,11.5,16.3,27.7,24.0,31.3,59.4,57.8,63.1,11.8,8.3,12.5,1.2,0.9,2.0,75.5,65.1,97.6,20.9,0.3,33.6,0.5,0.2,6.0,1.3,0.3,2.0,3.2,1.0,27.6,7021.0,828.0,1811.0,2655,2280,0,73.0,1,42.0,1,17.0,0,0,0,0,0,0,1999-2003
21,1,47,11.5,Dallas,Alabama,AL,52,"frontier status, population size, poverty, age, population density",40,44366,25732,47941,45,46,68,25.0,16.2,26.3,29.0,22.0,29.1,57.4,58.1,63.2,12.1,9.2,13.2,1.5,1.1,1.8,32.4,32.9,98.6,66.9,0.6,66.3,0.1,0.1,2.1,0.3,0.1,0.8,0.6,0.6,13.8,8207.0,1260.0,2183.0,2378,2155,0,30.0,0,44.0,0,21.0,0,0,0,0,0,0,1999-2003
22,1,49,7.8,DeKalb,Alabama,AL,24,"frontier status, population size, poverty, age",35,67271,57558,94198,86,40,257,15.1,12.3,16.6,25.0,21.0,26.2,61.2,57.9,61.9,12.3,12.0,16.6,1.6,1.6,3.0,96.0,83.7,97.0,1.8,0.8,13.7,0.8,0.2,2.3,0.3,0.3,1.5,8.8,0.7,15.0,16525.0,1414.0,2949.0,3790,3150,1,21.0,0,46.0,1,23.0,0,0,0,0,0,0,1999-2003
23,1,51,5.5,Elmore,Alabama,AL,19,"frontier status, population size, poverty, age",37,73937,53919,98288,119,36,280,12.5,10.3,13.9,25.1,22.3,25.7,64.0,60.4,65.8,9.8,8.2,13.2,1.2,1.1,2.3,77.3,77.6,97.5,20.7,0.4,20.7,0.4,0.2,2.1,0.5,0.5,2.5,1.7,0.8,4.6,10979.0,1091.0,2028.0,4170,3646,0,70.0,1,51.0,1,14.0,0,0,0,0,0,0,1999-2003
24,1,53,11.4,Escambia,Alabama,AL,51,"frontier status, population size, poverty, age, population density",33,38082,27269,43226,40,14,41,18.6,18.0,24.6,24.4,23.5,32.2,61.4,54.9,62.5,12.5,9.6,12.6,1.7,1.2,1.8,64.3,48.6,97.0,31.7,0.7,50.7,2.9,0.2,7.1,0.3,0.2,2.3,1.0,1.0,67.7,8120.0,721.0,1763.0,2165,1834,1,51.0,1,38.0,1,21.0,0,0,0,0,0,0,1999-2003
25,1,55,10.2,Etowah,Alabama,AL,6,"frontier status, population size, poverty",53,103189,111380,231954,193,43,697,15.7,12.4,16.5,24.0,22.4,29.6,60.3,57.8,62.9,13.9,8.5,16.2,1.8,1.1,2.7,83.8,65.8,95.0,14.6,1.0,30.1,0.3,0.3,1.9,0.5,0.7,3.4,2.4,1.9,21.0,18341.0,1982.0,4505.0,5897,4895,0,35.0,0,49.0,0,31.0,0,0,0,0,0,0,2001-2003
26,1,57,12.7,Fayette,Alabama,AL,63,"frontier status, population size, poverty, age, population density",32,18228,9378,21479,29,24,32,16.1,12.1,16.5,23.5,21.1,24.8,60.4,56.7,62.7,13.6,11.8,17.2,2.4,1.6,3.3,87.4,68.0,98.5,11.8,0.3,31.6,0.2,0.1,0.7,0.3,0.1,0.6,0.9,0.8,2.8,4298.0,315.0,931.0,1049,862,0,32.0,1,24.0,0,6.0,0,0,0,0,0,0,1994-2003
27,1,59,7.2,Franklin,Alabama,AL,49,"frontier status, population size, poverty, age, population density",35,30737,28892,46496,48,31,61,17.4,12.7,16.3,24.6,20.8,25.5,60.2,56.5,61.1,13.7,12.2,18.7,1.5,1.9,3.1,94.1,70.9,97.4,4.2,0.3,27.6,0.4,0.2,1.6,0.6,0.2,1.0,10.7,0.8,12.5,7922.0,664.0,1479.0,1742,1456,0,26.0,1,20.0,1,6.0,0,0,0,0,0,0,1999-2003
28,1,61,9.4,Geneva,Alabama,AL,64,"frontier status, population size, poverty, age, population density",41,25735,9340,25391,45,35,46,17.6,12.0,15.7,22.9,19.6,24.3,59.9,58.6,61.6,15.1,12.9,17.7,2.1,1.6,2.9,87.8,87.8,98.8,10.8,0.4,10.8,0.7,0.1,0.9,0.2,0.1,0.5,2.0,0.6,7.8,6209.0,409.0,1293.0,1492,1218,1,69.0,1,38.0,1,10.0,0,0,0,0,0,0,1994-2003
29,1,63,7.1,Greene,Alabama,AL,75,"frontier status, population size, poverty, age, population density",37,9661,6228,19495,15,15,22,24.9,17.0,24.9,28.0,22.3,28.6,57.9,55.2,63.8,12.0,11.0,15.1,2.1,1.8,2.6,19.9,30.0,97.1,79.7,1.1,69.6,0.1,0.1,1.6,0.2,0.1,0.5,0.7,0.7,37.8,2156.0,210.0,429.0,524,468,0,11.0,0,17.0,1,6.0,0,0,0,0,0,0,1994-2003
30,1,65,5.2,Hale,Alabama,AL,76,"frontier status, population size, poverty, age, population density",38,18316,9226,23786,28,24,42,20.6,16.7,23.3,26.8,24.8,29.5,60.6,56.1,60.6,10.9,11.1,14.3,1.7,1.6,2.6,40.3,48.3,91.8,59.2,4.4,50.9,0.1,0.0,2.0,0.2,0.2,0.7,0.9,0.9,12.1,4080.0,325.0,877.0,1011,912,1,21.0,0,31.0,0,14.0,0,0,0,0,0,0,1994-2003
31,1,67,8.0,Henry,Alabama,AL,63,"frontier status, population size, poverty, age, population density",32,16610,9378,21479,30,24,32,16.3,12.1,16.5,23.7,21.1,24.8,60.4,56.7,62.7,13.9,11.8,17.2,2.1,1.6,3.3,67.6,68.0,98.5,31.7,0.3,31.6,0.2,0.1,0.7,0.0,0.1,0.6,2.1,0.8,2.8,3793.0,294.0,585.0,951,789,0,28.0,1,21.0,1,5.0,0,0,0,0,0,0,1994-2003
32,1,69,8.8,Houston,Alabama,AL,23,"frontier status, population size, poverty, age",37,94249,56580,94249,162,25,238,15.3,11.4,16.6,25.9,25.0,29.3,60.2,58.0,63.1,12.1,8.4,12.6,1.8,0.9,2.0,72.2,65.5,95.7,25.9,1.1,32.8,0.4,0.2,3.9,0.7,0.4,1.7,1.6,1.6,33.4,14840.0,1547.0,3259.0,5260,4426,0,162.0,1,76.0,1,36.0,0,0,0,0,0,0,1999-2003
33,1,71,6.1,Jackson,Alabama,AL,22,"frontier status, population size, poverty, age",28,53650,62826,98960,50,13,202,14.5,13.1,15.9,23.7,22.0,26.0,61.7,59.8,67.5,13.1,7.9,13.5,1.5,1.1,2.1,92.6,72.0,96.8,3.8,0.5,26.0,1.6,0.2,2.8,0.3,0.3,3.3,1.6,0.6,5.4,12355.0,1219.0,2452.0,3076,2497,0,18.0,0,46.0,0,16.0,0,0,0,0,0,0,1999-2003
34,1,73,9.7,Jefferson,Alabama,AL,3,"frontier status, population size, poverty",39,657229,550521,928032,591,432,8966,14.4,11.2,19.6,25.2,22.4,32.0,61.4,58.4,66.3,11.7,7.4,12.4,1.7,1.0,2.3,56.8,45.6,87.6,41.2,3.4,51.3,0.2,0.2,3.6,1.1,1.5,9.0,2.3,2.2,43.6,83737.0,12866.0,25084.0,36995,31672,0,231.0,0,277.0,0,277.0,1,0,0,1,0,0,2001-2003
35,1,75,3.2,Lamar,Alabama,AL,63,"frontier status, population size, poverty, age, population density",32,14962,9378,21479,25,24,32,16.1,12.1,16.5,22.5,21.1,24.8,60.4,56.7,62.7,15.1,11.8,17.2,2.1,1.6,3.3,88.1,68.0,98.5,11.4,0.3,31.6,0.2,0.1,0.7,0.1,0.1,0.6,1.5,0.8,2.8,3708.0,316.0,627.0,871,700,0,17.0,0,20.0,1,5.0,0,0,0,0,0,0,1994-2003
36,1,77,6.7,Lauderdale,Alabama,AL,21,"frontier status, population size, poverty, age",44,87691,53309,92614,131,40,201,15.6,9.8,13.5,22.9,20.6,24.8,61.2,57.7,62.9,14.3,12.6,17.5,1.7,1.7,3.2,88.9,82.8,97.9,9.7,0.4,14.9,0.3,0.1,1.3,0.4,0.3,1.1,1.2,0.8,8.5,14143.0,1922.0,3957.0,5087,4340,0,45.0,0,57.0,0,13.0,0,0,0,0,0,0,1999-2003
37,1,79,9.2,Lawrence,Alabama,AL,32,"frontier status, population size, poverty, age",37,34605,29918,51327,50,25,310,14.4,12.7,17.8,24.6,20.8,25.4,62.7,60.9,67.2,11.5,8.1,13.9,1.2,1.2,2.0,79.5,71.9,98.0,12.1,0.9,24.1,5.4,0.1,5.4,0.1,0.3,2.1,1.4,0.6,6.7,8128.0,811.0,1423.0,1965,1650,0,20.0,1,24.0,0,7.0,0,0,0,0,0,0,1999-2003
38,1,81,7.8,Lee,Alabama,AL,22,"frontier status, population size, poverty, age",28,123254,62826,98960,202,13,202,15.1,13.1,15.9,25.1,22.0,26.0,66.5,59.8,67.5,7.6,7.9,13.5,0.9,1.1,2.1,74.1,72.0,96.8,23.0,0.5,26.0,0.2,0.2,2.8,1.8,0.3,3.3,1.6,0.6,5.4,12989.0,1982.0,3886.0,6997,7710,0,173.0,1,99.0,1,35.0,0,0,0,0,0,0,1999-2003
39,1,83,8.1,Limestone,Alabama,AL,19,"frontier status, population size, poverty, age",37,70469,53919,98288,124,36,280,11.8,10.3,13.9,24.1,22.3,25.7,64.2,60.4,65.8,10.5,8.2,13.2,1.1,1.1,2.3,85.1,77.6,97.5,13.2,0.4,20.7,0.5,0.2,2.1,0.5,0.5,2.5,3.3,0.8,4.6,12210.0,1370.0,2864.0,4019,3408,0,19.0,0,50.0,0,13.0,0,0,0,0,0,0,1999-2003
40,1,85,9.6,Lowndes,Alabama,AL,66,"frontier status, population size, poverty, age, population density",37,13076,6709,17773,18,8,19,23.3,17.4,29.4,29.0,24.5,34.1,58.2,53.7,62.2,11.3,8.6,13.2,1.5,1.0,2.0,27.9,24.9,97.0,71.7,0.5,71.7,0.1,0.1,53.4,0.1,0.1,0.8,0.8,0.8,83.5,2939.0,361.0,462.0,703,634,0,11.0,0,24.0,0,20.0,0,0,0,0,0,0,1994-2003
41,1,87,13.6,Macon,Alabama,AL,44,"frontier status, population size, poverty, age",33,22810,10108,25122,37,28,80,25.8,15.7,24.5,27.0,20.2,25.2,58.6,61.8,66.8,12.4,10.2,12.9,2.0,1.2,1.8,15.7,50.2,99.2,82.8,0.2,49.2,0.1,0.0,0.4,0.9,0.1,0.8,1.0,0.7,3.9,4027.0,444.0,850.0,1267,1319,0,29.0,1,29.0,1,12.0,0,0,0,0,0,0,1994-2003
42,1,89,6.5,Madison,Alabama,AL,4,"frontier status, population size, poverty",25,298192,280446,499060,370,250,993,10.9,10.1,13.3,25.5,21.4,28.5,62.5,57.9,63.0,10.9,8.1,15.3,1.1,0.9,2.8,71.7,71.3,95.8,23.5,1.7,25.9,0.8,0.2,1.5,2.1,0.7,4.6,2.2,1.7,33.3,28690.0,4944.0,9467.0,16746,14705,0,105.0,0,120.0,0,51.0,0,0,0,0,0,0,2001-2003
43,1,91,11.3,Marengo,Alabama,AL,67,"frontier status, population size, poverty, age, population density",31,21879,8756,21398,22,20,28,20.1,17.4,27.9,27.8,23.6,30.0,57.9,57.9,62.5,12.5,9.2,13.0,1.8,1.3,2.1,47.1,37.4,80.1,52.2,18.4,61.5,0.1,0.1,1.0,0.3,0.2,0.9,1.8,0.8,10.0,3964.0,453.0,857.0,1193,1055,0,43.0,1,36.0,1,14.0,0,0,0,0,0,0,1994-2003
44,1,93,10.1,Marion,Alabama,AL,49,"frontier status, population size, poverty, age, population density",35,30154,28892,46496,41,31,61,16.8,12.7,16.3,22.4,20.8,25.5,60.7,56.5,61.1,14.8,12.2,18.7,2.2,1.9,3.1,95.0,70.9,97.4,3.9,0.3,27.6,0.3,0.2,1.6,0.2,0.2,1.0,1.5,0.8,12.5,7912.0,553.0,1450.0,1758,1393,0,32.0,1,20.0,0,6.0,0,0,0,0,0,0,1999-2003
45,1,95,7.2,Marshall,Alabama,AL,22,"frontier status, population size, poverty, age",28,85634,62826,98960,151,13,202,15.2,13.1,15.9,25.7,22.0,26.0,60.4,59.8,67.5,12.5,7.9,13.5,1.4,1.1,2.1,96.6,72.0,96.8,1.6,0.5,26.0,0.5,0.2,2.8,0.4,0.3,3.3,8.5,0.6,5.4,17599.0,1461.0,3402.0,4779,3984,0,37.0,0,70.0,0,25.0,0,0,0,0,0,0,1999-2003
46,1,97,6.6,Mobile,Alabama,AL,5,"frontier status, population size, poverty",25,401427,296772,505505,326,124,2519,18.5,12.8,21.5,27.6,22.7,31.2,60.3,56.7,63.5,10.8,8.5,15.5,1.3,1.2,2.7,62.2,49.7,92.5,34.5,1.9,46.6,0.7,0.2,1.5,1.6,0.9,3.8,1.3,2.3,54.7,59807.0,8140.0,9386.0,21921,19559,0,354.0,1,204.0,1,156.0,0,0,0,1,0,0,2001-2003
47,1,99,8.1,Monroe,Alabama,AL,67,"frontier status, population size, poverty, age, population density",31,23733,8756,21398,23,20,28,17.7,17.4,27.9,27.4,23.6,30.0,58.4,57.9,62.5,12.3,9.2,13.0,1.9,1.3,2.1,57.0,37.4,80.1,41.0,18.4,61.5,1.0,0.1,1.0,0.3,0.2,0.9,0.8,0.8,10.0,4953.0,538.0,802.0,1299,1132,0,43.0,1,39.0,1,15.0,0,0,0,0,0,0,1994-2003
48,1,101,8.5,Montgomery,Alabama,AL,7,"frontier status, population size, poverty",33,221619,125339,247571,281,37,604,18.0,16.3,20.8,27.3,26.3,31.7,60.9,57.0,61.4,10.3,7.7,13.1,1.5,1.0,1.9,45.1,43.7,93.0,52.5,2.4,52.5,0.2,0.2,5.3,1.2,0.6,3.0,1.4,1.4,54.6,27476.0,4395.0,7028.0,12171,11178,1,186.0,1,127.0,1,120.0,0,0,0,0,0,0,2001-2003
49,1,103,6.7,Morgan,Alabama,AL,14,"frontier status, population size, poverty, age",40,113740,113041,246124,195,80,698,13.2,10.6,13.4,24.8,22.4,26.3,62.0,60.0,65.8,11.8,8.4,12.9,1.4,1.2,2.2,85.7,77.0,95.9,11.8,0.7,20.2,0.7,0.2,1.4,0.7,0.6,4.2,4.6,1.2,11.5,18217.0,2266.0,4163.0,6428,5407,0,39.0,1,44.0,1,13.0,0,0,0,0,0,0,2001-2003
50,1,107,12.8,Pickens,Alabama,AL,76,"frontier status, population size, poverty, age, population density",38,20178,9226,23786,23,24,42,19.3,16.7,23.3,26.3,24.8,29.5,57.6,56.1,60.6,14.1,11.1,14.3,2.0,1.6,2.6,57.2,48.3,91.8,42.4,4.4,50.9,0.1,0.0,2.0,0.1,0.2,0.7,0.8,0.9,12.1,4021.0,397.0,872.0,1121,973,0,34.0,0,38.0,0,17.0,0,0,0,0,0,0,1994-2003
51,1,109,11.3,Pike,Alabama,AL,35,"frontier status, population size, poverty, age",27,29639,27228,49644,44,32,87,20.3,14.6,20.3,25.4,21.8,26.5,62.0,57.6,62.1,11.4,12.6,16.6,1.2,1.6,2.6,60.2,62.3,98.0,36.8,0.5,36.6,0.6,0.2,17.0,1.0,0.3,0.7,1.6,0.8,16.0,5590.0,545.0,1040.0,1668,1638,0,51.0,1,24.0,0,18.0,0,0,0,0,0,0,1999-2003
52,1,111,8.1,Randolph,Alabama,AL,72,"frontier status, population size, poverty, age, population density",32,22717,6704,22717,39,28,40,15.7,15.0,21.5,25.1,20.7,24.8,58.5,57.5,63.1,14.4,12.7,17.4,2.0,1.4,2.5,76.8,74.8,98.9,22.1,0.4,22.9,0.3,0.1,4.3,0.4,0.1,0.6,1.3,0.7,4.1,5839.0,535.0,956.0,1281,1084,0,23.0,0,33.0,0,9.0,0,0,0,0,0,0,1994-2003
53,1,113,9.7,Russell,Alabama,AL,8,"frontier status, population size, poverty",54,49326,54746,94031,77,47,164,18.6,16.5,22.1,26.3,22.2,30.9,60.1,57.5,64.2,12.2,8.5,14.1,1.4,1.1,2.1,56.1,41.6,96.6,42.1,1.1,51.9,0.3,0.2,3.2,0.6,0.4,2.1,2.1,0.7,20.8,11013.0,1111.0,1938.0,2738,2332,0,48.0,1,49.0,1,25.0,0,0,0,0,0,0,1999-2003
54,1,115,13.0,St. Clair,Alabama,AL,22,"frontier status, population size, poverty, age",28,72330,62826,98960,114,13,202,13.1,13.1,15.9,24.2,22.0,26.0,63.7,59.8,67.5,11.0,7.9,13.5,1.1,1.1,2.1,90.3,72.0,96.8,8.2,0.5,26.0,0.4,0.2,2.8,0.3,0.3,3.3,1.3,0.6,5.4,14117.0,1135.0,3385.0,4123,3497,0,33.0,0,56.0,1,20.0,0,0,0,0,0,0,1999-2003
